sassafras,sassafras albidum
california bay,umbellularia californica
tulip tree,liriodendron tulipifera
southern magnolia,magnolia grandiflora
bigleaf magnolia,magnolia macrophylla
sweet acacia,vachellia farnesiana
eastern redbud,cercis canadensis
blue palo verde,parkinsonia florida
honey locust,gleditsia triacanthos
kentucky coffeetree,gymnocladus dioicus
honey mesquite,prosopis glandulosa
black locust,robinia pseudoacacia
american holly,ilex opaca
yaupon holly,ilex vomitoria
bitternut hickory,carya cordiformis
pignut hickory,carya glabra
pecan,carya illinoinensis
shagbark hickory,carya ovata
butternut,juglans cinerea
eastern black walnut,juglans nigra
american sweetgum,liquidambar styraciflua
candlenut,aleurites moluccanus
basswood,tilia americana
black tupelo,nyssa sylvatica
southern catalpa,catalpa bignonioides
northern catalpa,catalpa speciosa
desert willow,chilopsis linearis
flowering dogwood,cornus florida
pacific dogwood,cornus nuttallii
pacific yew,taxus brevifolia
pacific madrone,arbutus menziesii
saskatoon,amelanchier alnifolia
curlleaf mountain mahogany,cercocarpus ledifolius
black hawthorn,crataegus douglasii
waxy-fruited hawthorn,crataegus pruinosa
toyon,heteromeles arbutifolia
american plum,prunus americana
bitter cherry,prunus emarginata
fire cherry,prunus pensylvanica
black cherry,prunus serotina
chokecherry,prunus virginiana
american mountain ash,sorbus americana
narrowleaf cottonwood,populus angustifolia
black cottonwood,populus trichocarpa
eastern cottonwood,populus deltoides
fremont cottonwood,populus fremontii
bigtooth aspen,populus grandidentata
trembling aspen,populus tremuloides
bebb's willow,salix bebbiana
black willow,salix nigra
scouler's willow,salix scouleriana
eurabbie,eucalyptus globulus
american sycamore,platanus occidentalis
western sycamore,platanus racemosa
common hackberry,celtis occidentalis
common pawpaw,asimina triloba
ginkgo,ginkgo biloba
cabbage palmetto,sabal palmetto
california fan palm,washingtonia filifera
american persimmon,diospyros virginiana
american black elderberry,sambucus canadensis
box elder,acer negundo
red maple,acer rubrum
silver maple,acer saccharinum
sugar maple,acer saccharum
california buckeye,aesculus californica
ohio buckeye,aesculus glabra
hercules' club,zanthoxylum clava-herculis
balsam fir,abies balsamea
white fir,abies concolor
grand fir,abies grandis
subalpine fir,abies lasiocarpa
tamarack,larix laricina
western larch,larix occidentalis
engelmann spruce,picea engelmannii
white spruce,picea glauca
black spruce,picea mariana
blue spruce,picea pungens
red spruce,picea rubens
sitka spruce,picea sitchensis
whitebark pine,pinus albicaulis
rocky mountain bristlecone pine,pinus aristata
knobcone pine,pinus attenuata
jack pine,pinus banksiana
lodgepole pine,pinus contorta
shortleaf pine,pinus echinata
colorado pinyon,pinus edulis
limber pine,pinus flexilis
sugar pine,pinus lambertiana
singleleaf pinyon,pinus monophylla
western white pine,pinus monticola
longleaf pine,pinus palustris
ponderosa pine,pinus ponderosa
red pine,pinus resinosa
pitch pine,pinus rigida
eastern white pine,pinus strobus
loblolly pine,pinus taeda
virginia pine,pinus virginiana
common douglas-fir,pseudotsuga menziesii
eastern hemlock,tsuga canadensis
western hemlock,tsuga heterophylla
mountain hemlock,tsuga mertensiana
american chestnut,castanea dentata
american beech,fagus grandifolia
tanoak,notholithocarpus densiflorus
coast live oak,quercus agrifolia
white oak,quercus alba
swamp white oak,quercus bicolor
canyon live oak,quercus chrysolepis
blue oak,quercus douglasii
southern red oak,quercus falcata
oregon oak,quercus garryana
shingle oak,quercus imbricaria
california black oak,quercus kelloggii
bur oak,quercus macrocarpa
chinkapin oak,quercus muehlenbergii
pin oak,quercus palustris
chestnut oak,quercus montana
northern red oak,quercus rubra
black oak,quercus velutina
southern live oak,quercus virginiana
smooth sumac,rhus glabra
coast redwood,sequoia sempervirens
giant sequoia,sequoiadendron giganteum
baldcypress,taxodium distichum
lawson's cypress,chamaecyparis lawsoniana
monterey cypress,cupressus macrocarpa
utah juniper,juniperus osteosperma
rocky mountain juniper,juniperus scopulorum
eastern redcedar,juniperus virginiana
northern whitecedar,thuja occidentalis
western redcedar,thuja plicata
red alder,alnus rubra
yellow birch,betula alleghaniensis
sweet birch,betula lenta
water birch,betula occidentalis
paper birch,betula papyrifera
gray birch,betula populifolia
american hornbeam,carpinus caroliniana
american hophornbeam,ostrya virginiana
american elm,ulmus americana
slippery elm,ulmus rubra
tree-of-heaven,ailanthus altissima
white ash,fraxinus americana
oregon ash,fraxinus latifolia
velvet ash,fraxinus velutina
american witch-hazel,hamamelis virginiana
osage-orange,maclura pomifera
white mulberry,morus alba
red mulberry,morus rubra
saguaro,carnegiea gigantea
